AccountNumber,TypeId,net
-------------,------,---
10000,1,.00
10001,1,118906.00
10002,1,13863.00
10003,1,.00
10004,1,24382.40
10005,1,54568.00
10006,1,29806.00
10007,1,172129.00
10008,1,656653.09
10009,1,57740.00
10010,1,138127.00
10011,1,.00
10012,1,16835.00
10013,1,115495.00
10014,1,51650.00
10015,1,1120909.77
10016,1,110000.00
10017,1,.00
11000,1,.00
11110,1,-10710470.24
12100,1,.00
12110,1,4022751.55
12800,1,.00
12810,1,.00
12820,1,.00
12910,1,3825185.29
12920,1,.00
1500,1,.00
15000,1,.00
15100,1,5895000.00
15200,1,.00
15300,1,.00
15400,1,.00
15500,1,.00
15600,1,.00
20000,2,-5378414.40
2300,2,.00
23000,2,.00
25500,2,.00
25510,2,-2864761.24
25520,2,-17964781.89
26000,2,.00
30010,3,.00
30020,3,.00
3100,3,.00
32000,3,.00
32010,3,.00
4200,4,.00
42000,4,.00
47900,4,.00
47910,4,-25884890.68
47920,4,.00
50000,5,24724688.46
5100,5,.00
51200,5,.00
51800,5,.00
5200,5,.00
52000,5,.00
26100,6,-4060.00
60000,6,.00
60100,6,153000.00
60400,6,6623.04
6100,6,.00
61200,6,.00
61700,6,.00
6200,6,.00
62000,6,.00
62400,6,.00
6300,6,.00
63300,6,.00
63400,6,.00
64300,6,.00
64900,6,.00
66000,6,.00
66600,6,.00
66700,6,.00
67100,6,.00
67200,6,.00
67300,6,.00
68000,6,.00
68100,6,.00
68400,6,.00
68600,6,.00
80000,6,.00
